distance,kmph
0.0,0.0
371.91864593943535,121.3499112
9112.00682484206,121.598579
13389.071252471464,120.8525755
20641.48485031276,120.8525755
26406.223863048115,120.8525755
29753.491675154823,129.3072824
31241.16625082333,130.5506217
40353.17307566539,130.053286
45188.11547692267,130.053286
48907.301936317024,130.053286
52068.61043152093,130.3019538
55229.91891324281,130.3019538
62296.37318474387,130.053286
66015.55964413822,130.3019538
70664.54271501066,130.5506217
72710.09526835165,130.053286
72877.45865760879,105.9325044
73267.97324602414,30.08880995
73453.93256292693,0.0
86099.16653026055,0.0
87772.8004363139,72.36234458
88144.7190701195,120.8525755
111947.5124156362,120.3552398
141329.0854300213,119.8579041
148767.45837577415,119.8579041
158623.3024547453,123.339254
170152.78056110832,123.8365897
177405.19409558395,127.3179396
182426.0957732979,130.3019538
191538.102611622,130.7992895
203253.53999444164,130.5506217
204927.17388701296,116.1278863
206228.8890918505,111.1545293
214597.05868952756,109.4138544
225053.1794908638,109.4138544
225186.65179490863,0.0
225189.0,0.0
